Boston
"2,990"
100%
Norwell
"3,264"
"2,819"
100%
Nantucket
"4,144"
"1,892"
100%
Hull
"3,669"
"2,351"
100%
Weston
"4,301"
"1,642"
100%
Lakeville
"2,464"
"3,373"
100%
Lunenburg
"2,916"
"2,792"
100%
Carver
"2,507"
"3,192"
100%
Palmer
"2,475"
"3,083"
100%
Hanson
"2,430"
"3,124"
100%
Maynard
"3,849"
"1,670"
100%
Norfolk
"2,929"
"2,455"
100%
Southborough
"3,500"
"1,895"
100%
Littleton
"3,445"
"1,876"
100%
North Adams
"3,719"
"1,567"
100%
Spencer
"2,265"
"3,044"
100%
Leicester
"2,422"
"2,825"
100%
Holbrook
"2,912"
"2,385"
100%
Sutton
"2,287"
"2,881"
100%
Acushnet
"2,358"
"2,808"
100%
Dudley
"2,109"
"2,865"
100%
Sturbridge
"2,509"
"2,400"
100%
Southwick
"1,859"
"2,956"
100%
Townsend
"2,082"
"2,550"
100%
Middleton
"2,141"
"2,662"
100%
Boxford
"2,454"
"2,194"
100%
Georgetown
"2,314"
"2,260"
100%
Freetown
"2,018"
"2,641"
100%
Millis
"2,620"
"1,890"
100%
Athol
"2,074"
"2,329"
100%
Sterling
"2,136"
"2,302"
100%
Douglas
"1,780"
"2,685"
100%
Rockport
"3,121"
"1,371"
100%
Cohasset
"2,881"
"1,621"
100%
Rutland
"2,020"
"2,343"
100%
Plainville
"2,169"
"2,188"
100%
Salisbury
"2,094"
"2,241"
100%
Monson
"1,907"
"2,252"
100%
Blackstone
"1,850"
"2,327"
100%
Hamilton
"2,626"
"1,475"
100%
Winchendon
"1,787"
"2,310"
100%
Chatham
"2,395"
"1,796"
100%
Upton
"2,284"
"1,808"
100%
Newbury
"2,464"
"1,716"
100%
Westminster
"1,947"
"2,162"
100%
Orleans
"2,686"
"1,511"
100%
Ware
"1,852"
"2,189"
100%
Halifax
"1,776"
"2,293"
100%
Montague
"2,858"
"1,094"
100%
Stow
"2,704"
"1,261"
100%
West Boylston
"2,137"
"1,837"
100%
Mattapoisett
"2,102"
"1,818"
100%
West Bridgewater
"1,623"
"2,148"
100%
Ayer
"2,162"
"1,498"
100%
Groveland
"1,822"
"1,934"
100%
Dighton
"1,602"
"2,149"
100%
Adams
"2,412"
"1,285"
100%
Templeton
"1,507"
"2,051"
100%
Topsfield
"2,070"
"1,566"
100%
Lancaster
"1,840"
"1,650"
100%
Merrimac
"1,884"
"1,618"
100%
Rowley
"1,679"
"1,809"
100%
Lincoln
"2,906"
613
100%
Southampton
"1,744"
"1,692"
100%
Great Barrington
"2,877"
580
100%
Eastham
"2,202"
"1,198"
100%
Harvard
"2,475"
884
100%
Granby
"1,620"
"1,684"
100%
Berkley
"1,430"
"1,906"
100%
Williamstown
"2,910"
479
100%
Dover
"2,059"
"1,137"
100%
Mendon
"1,528"
"1,694"
100%
Manchester
"2,244"
953
100%
Hopedale
"1,759"
"1,375"
100%
Dalton
"2,185"
939
100%
Orange
"1,482"
"1,540"
100%
Rochester
"1,366"
"1,739"
100%
Shirley
"1,615"
"1,425"
100%
Ashburnham
"1,439"
"1,522"
100%
Carlisle
"2,302"
732
100%
Marion
"1,857"
"1,156"
100%
Bolton
"1,891"
"1,036"
100%
Hadley
"2,121"
864
100%
Hampden
"1,188"
"1,643"
100%
Lenox
"2,252"
575
100%
Lee
"1,960"
848
100%
Oak Bluffs
"2,080"
737
100%
Deerfield
"1,942"
767
100%
Boxborough
"1,987"
755
100%
West Newbury
"1,620"
"1,020"
100%
Barre
"1,201"
"1,429"
100%
Boylston
"1,422"
"1,124"
100%
Edgartown
"1,786"
779
100%
Hubbardston
"1,039"
"1,373"
100%
Paxton
"1,204"
"1,194"
100%
Sherborn
"1,718"
615
100%
Tisbury
"1,900"
474
100%
North Brookfield
906
"1,413"
100%
Avon
"1,253"
"1,067"
100%
Provincetown
"2,082"
208
100%
Wenham
"1,368"
773
100%
Warren
904
"1,266"
100%
Nahant
"1,325"
858
100%
Princeton
"1,183"
898
100%
Essex
"1,268"
757
100%
Wellfleet
"1,547"
515
100%
West Tisbury
"1,688"
329
100%
Hatfield
"1,278"
659
100%
Brimfield
793
"1,113"
100%
West Brookfield
865
"1,008"
100%
Dunstable
954
837
100%
Berlin
"1,009"
745
100%
Sheffield
"1,241"
530
100%
Sunderland
"1,351"
387
100%
Ashby
720
974
100%
Cheshire
978
741
100%
Brookfield
706
933
100%
Plympton
727
883
100%
Lanesborough
998
597
100%
Northfield
"1,013"
533
100%
Williamsburg
"1,206"
346
100%
Millville
624
874
100%
Truro
"1,095"
361
100%
Hardwick
565
708
100%
Holland
472
717
100%
Stockbridge
963
252
100%
Leverett
996
185
100%
Shutesbury
976
142
100%
Bernardston
710
382
100%
Conway
865
249
100%
Huntington
460
611
100%
Oakham
435
633
100%
East Brookfield
414
661
100%
Shelburne
813
230
100%
Ashfield
836
184
100%
Westhampton
629
408
100%
Hinsdale
606
403
100%
Buckland
700
230
100%
Phillipston
374
550
100%
Becket
568
367
100%
Whately
582
328
100%
Wales
365
550
100%
Richmond
696
218
100%
Granville
335
548
100%
Gill
579
259
100%
Otis
431
407
100%
Colrain
513
257
100%
Pelham
738
98
100%
West Stockbridge
659
178
100%
Clarksburg
510
327
100%
New Marlborough
564
218
100%
Egremont
621
147
100%
Russell
278
480
100%
Petersham
416
312
100%
Erving
389
289
100%
Chilmark
617
94
100%
Worthington
430
229
100%
Chesterfield
397
267
100%
Charlemont
406
227
100%
Blandford
256
404
100%
Royalston
313
321
100%
Chester
238
372
100%
Goshen
364
213
100%
New Braintree
246
326
100%
New Salem
337
208
100%
Wendell
402
104
100%
Cummington
334
156
100%
Monterey
417
88
100%
Montgomery
199
281
100%
Windsor
313
159
100%
Peru
255
207
100%
Leyden
306
139
100%
Sandisfield
254
190
100%
Warwick
271
142
100%
Heath
244
165
100%
Plainfield
263
107
100%
Florida
190
170
100%
Savoy
184
163
100%
Hancock
189
159
100%
Washington
217
89
100%
Tolland
101
190
100%
Middlefield
155
115
100%
Alford
226
52
100%
Tyringham
201
70
100%
Aquinnah
231
34
100%
Rowe
122
99
100%
Hawley
105
67
100%
New Ashford
101
39
100%
Mount Washington
76
19
100%
Gosnold
36
27
100%
Monroe
25
26
100%
