Fulton
"4,622"
"1,829"
100%
Berrien
"5,408"
"1,041"
100%
Brantley
"5,561"
619
100%
Brooks
"3,679"
"2,504"
100%
Dade
"5,047"
965
100%
Cook
"4,175"
"1,752"
100%
Jasper
"4,353"
"1,544"
100%
Ben Hill
"3,734"
"2,098"
100%
McIntosh
"3,482"
"2,298"
100%
Screven
"3,305"
"2,300"
100%
Crawford
"3,632"
"1,419"
100%
Jeff Davis
"4,102"
901
100%
Bleckley
"3,717"
"1,094"
100%
Early
"2,552"
"2,165"
100%
Wilkes
"2,569"
"1,844"
100%
Macon
"1,540"
"2,705"
100%
Wilkinson
"2,332"
"1,893"
100%
Heard
"3,370"
743
100%
Terrell
"1,872"
"2,267"
100%
Long
"2,623"
"1,356"
100%
Lincoln
"2,759"
"1,271"
100%
Twiggs
"2,034"
"1,970"
100%
Bacon
"3,356"
607
100%
Charlton
"2,950"
"1,004"
100%
Dooly
"1,941"
"1,860"
100%
Telfair
"2,449"
"1,313"
100%
Candler
"2,661"
"1,023"
100%
Johnson
"2,519"
"1,136"
100%
Irwin
"2,711"
890
100%
Evans
"2,404"
"1,130"
100%
Pulaski
"2,436"
"1,104"
100%
Seminole
"2,343"
"1,186"
100%
Hancock
841
"2,695"
100%
Montgomery
"2,668"
847
100%
Taylor
"2,062"
"1,295"
100%
Turner
"2,094"
"1,243"
100%
Talbot
"1,196"
"2,001"
100%
Marion
"1,921"
"1,213"
100%
Jenkins
"1,892"
"1,108"
100%
Wilcox
"2,096"
852
100%
Randolph
"1,270"
"1,597"
100%
Lanier
"1,984"
805
100%
Treutlen
"1,808"
860
100%
Atkinson
"1,873"
696
100%
Miller
"1,888"
622
100%
Clinch
"1,724"
685
100%
Warren
991
"1,313"
100%
Wheeler
"1,421"
646
100%
Stewart
805
"1,220"
100%
Calhoun
829
"1,178"
100%
Schley
"1,472"
401
100%
Baker
775
650
100%
Glascock
"1,235"
138
100%
Chattahoochee
746
593
100%
Clay
566
697
100%
Echols
"1,006"
156
100%
Webster
630
471
100%
Quitman
575
461
100%
Taliaferro
349
545
100%
