Manchester
"1,094"
100%
Deerfield
"1,091"
"1,607"
100%
Littleton
"1,239"
"1,436"
100%
New Ipswich
769
"1,894"
100%
Jaffrey
"1,311"
"1,284"
100%
Wakefield
873
"1,741"
100%
Newton
991
"1,593"
100%
Fremont
965
"1,591"
100%
Henniker
"1,429"
"1,060"
100%
Lee
"1,630"
824
100%
Epsom
919
"1,546"
100%
Barnstead
924
"1,520"
100%
Greenland
"1,396"
"1,074"
100%
Northwood
"1,056"
"1,385"
100%
Danville
860
"1,580"
100%
Candia
855
"1,553"
100%
Brentwood
"1,145"
"1,267"
100%
Enfield
"1,445"
931
100%
Strafford
"1,109"
"1,289"
100%
Northfield
884
"1,330"
100%
Charlestown
"1,041"
"1,159"
100%
Milton
847
"1,339"
100%
Gilmanton
788
"1,333"
100%
Wilton
"1,028"
"1,061"
100%
Allenstown
874
"1,203"
100%
Ossipee
770
"1,294"
100%
Chesterfield
"1,166"
910
100%
Haverhill
785
"1,186"
100%
Sunapee
928
"1,044"
100%
Walpole
"1,169"
755
100%
Grantham
"1,265"
699
100%
Pittsfield
691
"1,125"
100%
Bartlett
"1,094"
730
100%
Sanbornton
748
"1,035"
100%
Canaan
938
850
100%
Campton
890
870
100%
Boscawen
833
929
100%
Tilton
780
973
100%
Dunbarton
681
"1,026"
100%
Warner
874
790
100%
Winchester
840
829
100%
Hinsdale
917
733
100%
New Durham
578
981
100%
Tuftonboro
674
891
100%
Bristol
626
900
100%
Tamworth
739
761
100%
Lancaster
657
841
100%
Rollinsford
769
711
100%
Chichester
646
851
100%
Hampton Falls
672
822
100%
Canterbury
815
671
100%
East Kingston
608
830
100%
Gorham
770
693
100%
Mont Vernon
757
686
100%
Antrim
668
748
100%
Thornton
736
651
100%
Plainfield
957
458
100%
Madison
721
654
100%
Bethlehem
796
573
100%
Andover
703
673
100%
Kensington
642
668
100%
New Hampton
544
737
100%
Newbury
621
662
100%
Holderness
704
546
100%
Fitzwilliam
577
623
100%
Sutton
607
560
100%
Hancock
713
433
100%
Lyme
890
232
100%
Marlborough
711
408
100%
Webster
499
602
100%
Newfields
603
474
100%
Madbury
632
422
100%
Whitefield
472
563
100%
Ashland
504
520
100%
Lyndeborough
470
503
100%
Deering
383
586
100%
Alstead
522
444
100%
Colebrook
359
593
100%
Westmoreland
555
411
100%
Dublin
598
370
100%
Cornish
570
400
100%
Troy
422
509
100%
Northumberland
387
539
100%
Sandwich
578
360
100%
Bradford
442
485
100%
Francestown
471
444
100%
Freedom
425
476
100%
Alexandria
343
546
100%
Greenville
379
493
100%
Middleton
289
602
100%
Greenfield
433
414
100%
Wilmot
499
342
100%
Rumney
365
457
100%
Temple
405
400
100%
Mason
306
477
100%
Effingham
317
481
100%
Lincoln
408
367
100%
Springfield
344
422
100%
Salisbury
288
490
100%
Bennington
327
422
100%
Unity
281
473
100%
New Castle
481
279
100%
Stoddard
350
378
100%
Woodstock
378
335
100%
Milan
298
414
100%
Franconia
483
233
100%
Orford
417
256
100%
Bridgewater
267
423
100%
Center Harbor
324
357
100%
Grafton
267
397
100%
Lisbon
262
395
100%
Washington
247
400
100%
Lempster
226
428
100%
Danbury
247
386
100%
Harrisville
446
202
100%
Jackson
430
212
100%
Richmond
269
357
100%
Jefferson
216
357
100%
Newington
271
292
100%
South Hampton
246
315
100%
Acworth
274
240
100%
Hill
176
341
100%
Bath
211
292
100%
Wentworth
175
323
100%
Surry
237
244
100%
Dalton
192
280
100%
Monroe
173
291
100%
Carroll
213
245
100%
Pittsburg
121
343
100%
Warren
180
261
100%
Gilsum
197
231
100%
Brookfield
156
262
100%
Marlow
219
200
100%
Goshen
153
260
100%
Hebron
175
238
100%
Nelson
259
138
100%
Sugar Hill
237
159
100%
Croydon
126
271
100%
Albany
195
182
100%
Sullivan
196
172
100%
Langdon
184
197
100%
Piermont
179
175
100%
Stewartstown
95
231
100%
Columbia
109
219
100%
Groton
112
196
100%
Lyman
126
169
100%
Stark
98
186
100%
Eaton
157
109
100%
Stratford
132
126
100%
Waterville
150
99
100%
Shelburne
125
116
100%
Randolph
160
79
100%
Landaff
105
127
100%
Sharon
132
94
100%
Dorchester
51
136
100%
Chatham
79
103
100%
Errol
54
135
100%
Easton
118
65
100%
Benton
72
105
100%
Dummer
65
99
100%
Clarksville
68
95
100%
Orange
73
85
100%
Roxbury
72
58
100%
Windsor
28
94
100%
Ellsworth
26
24
100%
Harts Location
17
14
100%
Millsfield
4
16
100%
Wentworth's Location
5
13
100%
Dixville
4
2
100%
