Portland
Palermo
308
467
100%
Trenton
398
396
100%
Brownfield
366
428
100%
Appleton
393
396
100%
Newfield
285
501
100%
Searsmont
370
390
100%
Hiram
312
442
100%
Washburn
284
482
100%
Enfield
259
493
100%
Cornish
332
397
100%
Edgecomb
422
321
100%
Bradley
335
411
100%
Wayne
424
321
100%
Porter
270
462
100%
Franklin
303
426
100%
Limestone
325
410
100%
Kingfield
297
403
100%
Penobscot
445
279
100%
Lubec
374
359
100%
Fayette
344
373
100%
Swanville
286
404
100%
Vinalhaven
448
249
100%
Strong
225
460
100%
Mars Hill
193
523
100%
Woodstock
274
404
100%
Georgetown
402
281
100%
Friendship
271
425
100%
Hudson
194
490
100%
Sedgwick
397
287
100%
Medway
193
508
100%
Hebron
249
397
100%
Denmark
285
382
100%
Chesterville
276
375
100%
Kenduskeag
202
461
100%
Plymouth
184
484
100%
Rangeley
284
382
100%
Dixmont
232
431
100%
Cornville
251
410
100%
Sangerville
209
455
100%
East Machias
245
424
100%
Stetson
206
433
100%
Charleston
140
532
100%
Lovell
313
335
100%
Brownville
243
387
100%
Baileyville
263
372
100%
Greenbush
185
440
100%
Hodgdon
148
499
100%
Guilford
222
401
100%
Howland
248
387
100%
Easton
217
408
100%
Milbridge
266
361
100%
Burnham
213
404
100%
Addison
210
409
100%
Woodland
231
392
100%
Bradford
185
442
100%
Jonesport
240
377
100%
Sullivan
285
300
100%
Frankfort
220
381
100%
Hartford
206
378
100%
Sherman
141
467
100%
Etna
198
385
100%
Brooksville
406
190
100%
Montville
288
279
100%
Cherryfield
200
366
100%
Steuben
199
368
100%
Phillips
230
344
100%
South Bristol
332
229
100%
Ashland
208
347
100%
Frenchville
264
312
100%
Smithfield
244
319
100%
Stonington
350
214
100%
Rome
282
268
100%
Solon
233
316
100%
Castine
329
205
100%
Saint Agatha
258
279
100%
Brooklin
346
177
100%
Brooks
207
298
100%
Troy
216
288
100%
Belmont
225
281
100%
Garland
167
344
100%
Liberty
233
267
100%
Monroe
247
246
100%
Exeter
177
330
100%
Andover
195
280
100%
Sumner
185
299
100%
Bingham
191
302
100%
Morrill
192
296
100%
Jackman
121
376
100%
Embden
167
322
100%
Alton
175
304
100%
Lee
137
358
100%
Canton
152
242
100%
Clifton
170
293
100%
Westport
241
219
100%
Princeton
119
330
100%
Littleton
112
356
100%
Bremen
282
194
100%
Pembroke
191
273
100%
Patten
138
322
100%
Machiasport
184
249
100%
Athens
160
275
100%
Harrington
129
322
100%
Parkman
151
283
100%
Waldo
192
244
100%
Eagle Lake
218
237
100%
Harmony
154
293
100%
Alna
262
176
100%
Linneus
88
358
100%
Industry
189
234
100%
Perry
171
266
100%
Greenwood
213
211
100%
Monson
166
261
100%
Carrabassett Valley
267
127
100%
New Portland
157
240
100%
Knox
131
281
100%
Otis
137
260
100%
Freedom
172
209
100%
Thorndike
189
191
100%
New Vineyard
130
256
100%
Southport
218
179
100%
Islesboro
280
116
100%
Eustis
136
222
100%
Mercer
158
225
100%
Monticello
96
296
100%
Prospect
159
224
100%
Detroit
147
228
100%
Island Falls
124
249
100%
Abbot
101
255
100%
Oxford Cty Townships
135
207
100%
Blaine
94
283
100%
Vienna
157
195
100%
Sebec
102
257
100%
Oakfield
102
254
100%
New Sweden
147
185
100%
LaGrange
112
237
100%
Danforth
92
243
100%
Mattawamkeag
108
222
100%
Arrowsic
221
98
100%
Somerville
101
197
100%
New Limerick
97
224
100%
Starks
122
182
100%
Penobscot Cty Townships
97
226
100%
Chester
65
244
100%
Chebeague Island
232
66
100%
Jonesboro
119
177
100%
Temple
154
146
100%
Whiting
139
168
100%
Robbinston
114
183
100%
Jackson
104
189
100%
Bridgewater
85
202
100%
Marshfield
101
185
100%
Verona
122
164
100%
Alexander
80
208
100%
Winter Harbor
113
153
100%
Columbia Falls
82
190
100%
Dennysville
94
166
100%
Wallagrass
154
127
100%
Weld
117
152
100%
North Haven
189
67
100%
Cutler
70
202
100%
Carthage
90
139
100%
Mariaville
91
165
100%
New Canada
121
140
100%
Beals
113
141
100%
Chapman
99
156
100%
Penobscot Nation Vot Dst
201
43
100%
Newry
136
109
100%
Cambridge
65
173
100%
Ripley
72
155
100%
Indian Township Vtng Dst
184
59
100%
Moscow
88
155
100%
Portage Lake
88
153
100%
Sweden
115
116
100%
Swan's Island
102
122
100%
Westfield
85
146
100%
Pleasant Point Votng Dst
162
47
100%
Avon
76
146
100%
Roxbury
76
143
100%
Eastbrook
66
150
100%
St. Francis
127
96
100%
Lowell
61
155
100%
Ludlow
65
140
100%
Grand Isle
122
93
100%
Castle Hill
85
123
100%
Somerset Cty Townships
57
156
100%
Passadumkeag
37
165
100%
Stow
97
98
100%
Waltham
48
141
100%
Columbia
43
151
100%
Stacyville
35
161
100%
Aroostook Cty Townships
85
114
100%
Burlington
45
138
100%
Dallas Plt.
90
92
100%
Sorrento
99
87
100%
Perham
60
119
100%
Winn
36
151
100%
Hanover
84
85
100%
Atkinson
50
120
100%
Weston
55
121
100%
Charlotte
51
114
100%
Springfield
34
130
100%
Stoneham
77
89
100%
Long Island
109
52
100%
Amherst
57
99
100%
Roque Bluffs
90
72
100%
St. John Plt.
58
92
100%
Allagash
69
85
100%
Rangeley Plt.
51
97
100%
Stockholm
67
53
100%
Cranberry Isles
100
41
100%
Medford
44
96
100%
Dyer Brook
38
96
100%
Crystal
33
102
100%
Smyrna
38
99
100%
Shirley
43
93
100%
Wade
41
86
100%
Caswell
73
58
100%
Winterville Plt.
53
74
100%
Merrill
37
82
100%
Woodville
23
99
100%
Masardis
44
79
100%
Topsfield
20
95
100%
Baring Plt.
48
66
100%
Amity
29
82
100%
Wellington
48
62
100%
Gilead
42
62
100%
Moose River
15
94
100%
Highland Plt.
33
70
100%
Cary Plt.
24
81
100%
Coplin Plt.
40
54
100%
Whitneyville
41
56
100%
Northfield
38
65
100%
Hamlin
48
52
100%
Mount Chase
23
71
100%
Beaver Cove
37
58
100%
Grand Lake Stream Plt
32
59
100%
Edinburg
35
63
100%
Meddybemps
30
62
100%
Carroll Plt.
17
72
100%
Cooper
33
55
100%
Vanceboro
28
57
100%
Sandy River Plt.
45
40
100%
Byron
29
52
100%
Bowerbank
25
60
100%
Orient
13
69
100%
Willimantic
20
58
100%
Reed Plt.
14
61
100%
Frye Island
43
26
100%
Wesley
27
44
100%
Aurora
17
48
100%
Lake View Plt.
33
39
100%
Crawford
21
48
100%
Piscataquis Cty Townshps
14
52
100%
Isle Au Haut
38
15
100%
Maxfield
17
36
100%
Monhegan Plt.
40
6
100%
Upton
13
39
100%
Lakeville
18
32
100%
Cyr Plt.
22
28
100%
Matinicus Isle Plt.
33
18
100%
Waite
12
34
100%
Garfield Plt.
14
31
100%
Caratunk
27
23
100%
Westmanland
24
24
100%
Hammond
8
37
100%
West Forks Plt.
15
31
100%
Brighton Plt.
12
32
100%
Pleasant Ridge Plt.
11
33
100%
Haynesville
11
33
100%
Macwahoc Plt.
14
27
100%
Osborn
14
26
100%
Great Pond
15
22
100%
The Forks Plt.
9
21
100%
Deblois
6
30
100%
Oxbow Plt.
10
25
100%
Beddington
11
24
100%
Talmadge
13
22
100%
Seboeis Plt.
15
19
100%
Hersey
4
23
100%
Webster Plt.
5
26
100%
Frenchboro
7
23
100%
Moro Plt.
1
25
100%
Lincoln Plt.
8
17
100%
Dennistown Plt.
5
19
100%
Drew Plt.
3
20
100%
Nashville Plt.
7
12
100%
Kingsbury Plt.
9
9
100%
Washington Cty Townships
4
13
100%
Magalloway Plt.
2
15
100%
Glenwood Plt.
0
2
100%
Hancock Cty Townships
0
0
100%
Franklin Cty Townships
0
0
100%
