Harris
100%
Austin
"9,637"
"2,319"
100%
Fannin
"9,536"
"2,123"
100%
Matagorda
"8,147"
"3,357"
100%
Caldwell
"6,516"
"4,663"
100%
Starr
"2,218"
"9,246"
100%
Cass
"9,182"
"2,250"
100%
Fayette
"8,648"
"2,127"
100%
Aransas
"7,730"
"2,458"
100%
Panola
"8,445"
"1,835"
100%
Llano
"8,283"
"1,825"
100%
San Jacinto
"8,050"
"2,034"
100%
Bandera
"8,159"
"1,726"
100%
Palo Pinto
"8,222"
"1,700"
100%
Grimes
"7,065"
"2,194"
100%
Kleberg
"4,364"
"4,713"
100%
Titus
"6,405"
"2,538"
100%
Shelby
"7,171"
"1,757"
100%
Uvalde
"4,828"
"3,863"
100%
Hale
"6,347"
"2,090"
100%
Howard
"6,635"
"1,768"
100%
La Vaca
"7,339"
"1,170"
100%
Milam
"6,340"
"2,042"
100%
Montague
"7,526"
885
100%
Colorado
"6,323"
"1,977"
100%
Bee
"4,743"
"3,443"
100%
Houston
"6,205"
"1,978"
100%
Lampasas
"6,371"
"1,479"
100%
Hutchinson
"7,039"
854
100%
Tyler
"6,601"
"1,243"
100%
Bosque
"6,325"
"1,277"
100%
Young
"6,587"
873
100%
Limestone
"5,747"
"1,748"
100%
Freestone
"5,995"
"1,461"
100%
Leon
"6,391"
909
100%
Gray
"6,495"
699
100%
Hockley
"5,793"
"1,257"
100%
Robertson
"4,665"
"2,203"
100%
Calhoun
"4,638"
"2,118"
100%
Burleson
"5,316"
"1,491"
100%
Eastland
"6,008"
776
100%
De Witt
"5,510"
"1,161"
100%
Lee
"4,996"
"1,372"
100%
Gonzales
"4,580"
"1,567"
100%
Trinity
"4,737"
"1,154"
100%
Jones
"4,815"
935
100%
Blanco
"4,212"
"1,244"
100%
Callahan
"4,858"
568
100%
Jackson
"4,266"
904
100%
Moore
"3,974"
"1,096"
100%
Scurry
"4,403"
733
100%
Falls
"3,438"
"1,682"
100%
Comanche
"4,300"
788
100%
Red River
"3,924"
"1,148"
100%
Willacy
"1,541"
"3,416"
100%
Clay
"4,376"
536
100%
Morris
"3,443"
"1,425"
100%
Andrews
"3,925"
836
100%
Nolan
"3,551"
"1,029"
100%
Sabine
"3,992"
614
100%
Rains
"3,919"
619
100%
Gaines
"3,907"
597
100%
Camp
"3,201"
"1,260"
100%
Franklin
"3,583"
665
100%
Madison
"3,349"
881
100%
Archer
"3,785"
394
100%
Live Oak
"3,450"
739
100%
Brewster
"2,073"
"1,869"
100%
Marion
"2,968"
"1,156"
100%
Deaf Smith
"2,911"
"1,185"
100%
Karnes
"2,959"
"1,144"
100%
Pecos
"2,463"
"1,551"
100%
Duval
"1,316"
"2,783"
100%
Wilbarger
"3,166"
807
100%
Newton
"2,961"
978
100%
Lamb
"3,040"
770
100%
Somervell
"3,206"
540
100%
Runnels
"3,241"
452
100%
Goliad
"2,618"
973
100%
Coleman
"3,177"
387
100%
Hamilton
"3,056"
479
100%
San Augustine
"2,620"
907
100%
Dawson
"2,636"
835
100%
Stephens
"3,033"
348
100%
Ward
"2,541"
780
100%
Zavala
692
"2,633"
100%
Jack
"2,973"
314
100%
Dimmit
974
"2,173"
100%
Reeves
"1,417"
"1,659"
100%
Zapata
"1,028"
"2,056"
100%
McCulloch
"2,546"
480
100%
Ochiltree
"2,628"
274
100%
Carson
"2,617"
249
100%
Refugio
"1,830"
"1,034"
100%
Parmer
"1,911"
848
100%
Frio
"1,232"
"1,401"
100%
Brooks
613
"1,937"
100%
San Saba
"2,025"
293
100%
Wheeler
"2,087"
194
100%
Yoakum
"1,797"
426
100%
Delta
"1,836"
400
100%
Mills
"1,949"
242
100%
Presidio
652
"1,458"
100%
Mitchell
"1,780"
353
100%
Swisher
"1,671"
462
100%
Jim Hogg
430
"1,635"
100%
Childress
"1,802"
253
100%
Mason
"1,656"
353
100%
La Salle
870
"1,125"
100%
Lynn
"1,546"
403
100%
Castro
"1,413"
526
100%
Floyd
"1,473"
435
100%
Hansford
"1,730"
171
100%
Hartley
"1,727"
172
100%
Kimble
"1,697"
206
100%
Winkler
"1,403"
420
100%
Bailey
"1,343"
397
100%
Haskell
"1,403"
314
100%
Terry
"1,295"
424
100%
Martin
"1,453"
266
100%
Fisher
"1,265"
403
100%
Crosby
"1,180"
468
100%
Hemphill
"1,460"
181
100%
Real
"1,382"
262
100%
Dallam
"1,258"
222
100%
Hardeman
"1,207"
249
100%
Shackelford
"1,378"
103
100%
Baylor
"1,267"
191
100%
Garza
"1,223"
224
100%
Donley
"1,225"
190
100%
Kinney
936
457
100%
Coke
"1,265"
140
100%
Sutton
"1,075"
313
100%
Crockett
980
372
100%
Crane
"1,047"
299
100%
Knox
"1,078"
247
100%
Lipscomb
"1,159"
135
100%
Upton
961
284
100%
Jeff Davis
694
422
100%
Collingsworth
983
145
100%
Hall
891
164
100%
Concho
885
148
100%
Edwards
741
302
100%
Schleicher
819
209
100%
Armstrong
924
70
100%
Oldham
850
78
100%
Sherman
807
96
100%
Dickens
755
128
100%
Cochran
679
190
100%
Reagan
709
167
100%
Hudspeth
503
324
100%
Menard
681
153
100%
Throckmorton
715
84
100%
Culberson
280
454
100%
Irion
660
90
100%
Briscoe
625
91
100%
Stonewall
555
135
100%
Sterling
549
70
100%
Motley
571
40
100%
Glasscock
553
34
100%
Cottle
486
84
100%
Roberts
524
20
100%
Foard
383
113
100%
McMullen
454
40
100%
Terrell
287
140
100%
Kent
360
59
100%
Borden
330
31
100%
Kenedy
84
99
100%
King
149
5
100%
Loving
57
4
100%
