Stamford
Ellington
"3,531"
"4,199"
100%
Montville
"3,340"
"4,156"
100%
Cromwell
"3,808"
"3,486"
100%
New Fairfield
"3,072"
"4,304"
100%
North Branford
"2,933"
"4,473"
100%
Suffield
"3,334"
"3,789"
100%
Seymour
"2,777"
"4,439"
100%
Ansonia
"3,532"
"3,621"
100%
Ledyard
"3,330"
"3,581"
100%
Oxford
"2,398"
"4,685"
100%
East Hampton
"3,210"
"3,648"
100%
Clinton
"3,493"
"3,415"
100%
Killingly
"2,491"
"3,916"
100%
Coventry
"3,067"
"3,057"
100%
Granby
"3,114"
"2,967"
100%
Old Saybrook
"3,207"
"2,784"
100%
Windsor Locks
"2,789"
"3,022"
100%
Woodbury
"2,646"
"3,474"
100%
Plainfield
"2,177"
"3,512"
100%
Stafford
"2,286"
"3,344"
100%
Canton
"3,100"
"2,601"
100%
Plymouth
"1,884"
"3,767"
100%
Weston
"3,807"
"1,632"
100%
Somers
"2,125"
"3,350"
100%
Prospect
"1,661"
"3,701"
100%
East Windsor
"2,510"
"2,670"
100%
Redding
"3,127"
"2,088"
100%
Hebron
"2,627"
"2,555"
100%
Burlington
"2,352"
"2,773"
100%
Woodbridge
"3,333"
"1,814"
100%
Griswold
"1,934"
"3,011"
100%
Portland
"2,493"
"2,491"
100%
Derby
"2,332"
"2,651"
100%
Winchester
"1,861"
"3,009"
100%
East Haddam
"2,331"
"2,487"
100%
Haddam
"2,141"
"2,556"
100%
Old Lyme
"2,498"
"1,999"
100%
Litchfield
"2,067"
"2,359"
100%
Easton
"2,203"
"2,131"
100%
Thompson
"1,579"
"2,646"
100%
Middlebury
"1,664"
"2,630"
100%
Woodstock
"1,945"
"2,281"
100%
Durham
"1,850"
"2,138"
100%
New Hartford
"1,642"
"2,238"
100%
Essex
"2,291"
"1,620"
100%
Killingworth
"1,895"
"1,943"
100%
Thomaston
"1,152"
"2,616"
100%
Lebanon
"1,583"
"2,115"
100%
Westbrook
"1,699"
"1,936"
100%
Brooklyn
"1,462"
"2,052"
100%
Brookfield
"1,576"
"1,983"
50%
Putnam
"1,562"
"1,845"
100%
Marlborough
"1,687"
"1,766"
100%
Harwinton
"1,131"
"2,107"
100%
Bethany
"1,580"
"1,646"
100%
Beacon Falls
"1,146"
"2,002"
100%
Columbia
"1,558"
"1,500"
100%
North Stonington
"1,282"
"1,558"
100%
Bolton
"1,385"
"1,436"
100%
Willington
"1,374"
"1,373"
100%
East Granby
"1,379"
"1,369"
100%
Canterbury
932
"1,609"
100%
Middlefield
"1,154"
"1,361"
100%
Deep River
"1,412"
"1,077"
100%
Preston
978
"1,377"
100%
Salem
"1,029"
"1,182"
100%
Salisbury
"1,671"
545
100%
Ashford
"1,112"
"1,042"
100%
Bethlehem
801
"1,405"
100%
Chester
"1,365"
781
100%
Pomfret
"1,070"
"1,013"
100%
Barkhamsted
905
"1,157"
100%
Lisbon
868
"1,175"
100%
Sherman
976
"1,065"
100%
Washington
"1,242"
738
100%
Andover
896
891
100%
Goshen
673
"1,062"
100%
Kent
"1,062"
559
100%
Sterling
478
"1,102"
100%
North Canaan
732
703
100%
Sprague
535
864
100%
Lyme
888
520
100%
Roxbury
765
638
100%
Sharon
820
521
100%
Morris
509
838
100%
Bozrah
536
764
100%
Voluntown
431
862
100%
Hartland
349
804
100%
Chaplin
432
624
100%
Bridgewater
518
571
100%
Franklin
413
613
100%
Hampton
484
509
100%
Eastford
367
513
100%
Norfolk
518
373
100%
Cornwall
622
248
100%
Scotland
310
518
100%
Colebrook
320
526
100%
Warren
352
451
100%
Canaan
362
205
100%
Union
188
277
100%
